Headword|POS|Gender	TLFi sense Ids	TLFi senses	HS	BG	MC	Wiktionnaire senses	Wiktionnaire sense Ids
gazon|noun|masculine							
https://www.cnrtl.fr/definition/37088							
http://kaiko.getalp.org/dbnary/fra/gazon__nom__1							
	A._2.UND-2	Motte de terre carrée couverte de gazon que l'on découpe à la pelle, soit pour faire des pelouses artificielles, soit pour construire des cabanes, des digues, des rives, etc.	related	related	related	(Par métonymie) Surface couverte de cette herbe.	http://kaiko.getalp.org/dbnary/fra/__ws_4_gazon__nom__1
	A._2.UND-2	Motte de terre carrée couverte de gazon que l'on découpe à la pelle, soit pour faire des pelouses artificielles, soit pour construire des cabanes, des digues, des rives, etc.	none	related	related	(Jardinage) Herbe courte et fine, le plus souvent en parlant des graminées et spécialement un mélange de ray-grass anglais, de fétuques et d’agrostis.	http://kaiko.getalp.org/dbnary/fra/__ws_2_gazon__nom__1
	A._2.UND-2	Motte de terre carrée couverte de gazon que l'on découpe à la pelle, soit pour faire des pelouses artificielles, soit pour construire des cabanes, des digues, des rives, etc.	none	none	none	(Familier) (Vieilli) Chevelure.	http://kaiko.getalp.org/dbnary/fra/__ws_6_gazon__nom__1
	A._2.UND-2	Motte de terre carrée couverte de gazon que l'on découpe à la pelle, soit pour faire des pelouses artificielles, soit pour construire des cabanes, des digues, des rives, etc.	related	narrower	related	(Botanique) Végétation courte de plantes herbacées.	http://kaiko.getalp.org/dbnary/fra/__ws_1_gazon__nom__1
	A._2.UND-2	Motte de terre carrée couverte de gazon que l'on découpe à la pelle, soit pour faire des pelouses artificielles, soit pour construire des cabanes, des digues, des rives, etc.	exact	exact	exact	(Jardinage) Motte ou plaque de terre couverte d’herbe que l’on découpe à la bêche ou avec une machine et qui sert à recouvrir une surface dépourvue de végétation.	http://kaiko.getalp.org/dbnary/fra/__ws_5_gazon__nom__1
	A._2.UND-2	Motte de terre carrée couverte de gazon que l'on découpe à la pelle, soit pour faire des pelouses artificielles, soit pour construire des cabanes, des digues, des rives, etc.	related	none	related	(Spécialement) (Histoire) Épaisseur de la végétation, feuilles et racines, qui pouvait être soumis à l’essartage.	http://kaiko.getalp.org/dbnary/fra/__ws_3_gazon__nom__1
	A._UND-4	Cheveux.	none	none	none	(Par métonymie) Surface couverte de cette herbe.	http://kaiko.getalp.org/dbnary/fra/__ws_4_gazon__nom__1
	A._UND-4	Cheveux.	none	none	none	(Jardinage) Herbe courte et fine, le plus souvent en parlant des graminées et spécialement un mélange de ray-grass anglais, de fétuques et d’agrostis.	http://kaiko.getalp.org/dbnary/fra/__ws_2_gazon__nom__1
	A._UND-4	Cheveux.	exact	exact	exact	(Familier) (Vieilli) Chevelure.	http://kaiko.getalp.org/dbnary/fra/__ws_6_gazon__nom__1
	A._UND-4	Cheveux.	none	none	none	(Botanique) Végétation courte de plantes herbacées.	http://kaiko.getalp.org/dbnary/fra/__ws_1_gazon__nom__1
	A._UND-4	Cheveux.	none	none	none	(Jardinage) Motte ou plaque de terre couverte d’herbe que l’on découpe à la bêche ou avec une machine et qui sert à recouvrir une surface dépourvue de végétation.	http://kaiko.getalp.org/dbnary/fra/__ws_5_gazon__nom__1
	A._UND-4	Cheveux.	none	none	none	(Spécialement) (Histoire) Épaisseur de la végétation, feuilles et racines, qui pouvait être soumis à l’essartage.	http://kaiko.getalp.org/dbnary/fra/__ws_3_gazon__nom__1
	UND-5	Herbe très courte et très fine.	none	related	related	(Par métonymie) Surface couverte de cette herbe.	http://kaiko.getalp.org/dbnary/fra/__ws_4_gazon__nom__1
	UND-5	Herbe très courte et très fine.	broader	exact	exact	(Jardinage) Herbe courte et fine, le plus souvent en parlant des graminées et spécialement un mélange de ray-grass anglais, de fétuques et d’agrostis.	http://kaiko.getalp.org/dbnary/fra/__ws_2_gazon__nom__1
	UND-5	Herbe très courte et très fine.	none	none	none	(Familier) (Vieilli) Chevelure.	http://kaiko.getalp.org/dbnary/fra/__ws_6_gazon__nom__1
	UND-5	Herbe très courte et très fine.	exact	narrower	related	(Botanique) Végétation courte de plantes herbacées.	http://kaiko.getalp.org/dbnary/fra/__ws_1_gazon__nom__1
	UND-5	Herbe très courte et très fine.	related	related	related	(Jardinage) Motte ou plaque de terre couverte d’herbe que l’on découpe à la bêche ou avec une machine et qui sert à recouvrir une surface dépourvue de végétation.	http://kaiko.getalp.org/dbnary/fra/__ws_5_gazon__nom__1
	UND-5	Herbe très courte et très fine.	related	related	related	(Spécialement) (Histoire) Épaisseur de la végétation, feuilles et racines, qui pouvait être soumis à l’essartage.	http://kaiko.getalp.org/dbnary/fra/__ws_3_gazon__nom__1
	UND-6	Surface couverte d'herbe courte et fine.	exact	exact	exact	(Par métonymie) Surface couverte de cette herbe.	http://kaiko.getalp.org/dbnary/fra/__ws_4_gazon__nom__1
	UND-6	Surface couverte d'herbe courte et fine.	related	related	related	(Jardinage) Herbe courte et fine, le plus souvent en parlant des graminées et spécialement un mélange de ray-grass anglais, de fétuques et d’agrostis.	http://kaiko.getalp.org/dbnary/fra/__ws_2_gazon__nom__1
	UND-6	Surface couverte d'herbe courte et fine.	none	none	none	(Familier) (Vieilli) Chevelure.	http://kaiko.getalp.org/dbnary/fra/__ws_6_gazon__nom__1
	UND-6	Surface couverte d'herbe courte et fine.	exact	related	related	(Botanique) Végétation courte de plantes herbacées.	http://kaiko.getalp.org/dbnary/fra/__ws_1_gazon__nom__1
	UND-6	Surface couverte d'herbe courte et fine.	related	related	broader	(Jardinage) Motte ou plaque de terre couverte d’herbe que l’on découpe à la bêche ou avec une machine et qui sert à recouvrir une surface dépourvue de végétation.	http://kaiko.getalp.org/dbnary/fra/__ws_5_gazon__nom__1
	UND-6	Surface couverte d'herbe courte et fine.	related	none	related	(Spécialement) (Histoire) Épaisseur de la végétation, feuilles et racines, qui pouvait être soumis à l’essartage.	http://kaiko.getalp.org/dbnary/fra/__ws_3_gazon__nom__1
favoriser|verb|							
https://www.cnrtl.fr/definition/33751							
http://kaiko.getalp.org/dbnary/fra/favoriser__verb__1							
	A._UND-2	Donner plus qu'à un autre	broader	narrower	related	Traiter avec les signes d’une préférence ou d'une bienveillance marquée.	http://kaiko.getalp.org/dbnary/fra/__ws_1_favoriser__verb__1
	A._UND-2	Donner plus qu'à un autre	none	narrower	related	Gratifier quelqu’un d’un avantage ou de quelque chose agréable, conforme à ses souhaits, à ses désirs.	http://kaiko.getalp.org/dbnary/fra/__ws_2_favoriser__verb__1
	A._UND-2	Donner plus qu'à un autre	none	none	none	(Par extension) (Courant) Aider ; contribuer à.	http://kaiko.getalp.org/dbnary/fra/__ws_3_favoriser__verb__1
	A._UND-2	Donner plus qu'à un autre	none	narrower	none	(Par extension) Gratifier.	http://kaiko.getalp.org/dbnary/fra/__ws_4_favoriser__verb__1
	B._1.UND-6	Gratifier (quelqu'un) de (quelque chose).	none	none	none	Traiter avec les signes d’une préférence ou d'une bienveillance marquée.	http://kaiko.getalp.org/dbnary/fra/__ws_1_favoriser__verb__1
	B._1.UND-6	Gratifier (quelqu'un) de (quelque chose).	broader	exact	broader	Gratifier quelqu’un d’un avantage ou de quelque chose agréable, conforme à ses souhaits, à ses désirs.	http://kaiko.getalp.org/dbnary/fra/__ws_2_favoriser__verb__1
	B._1.UND-6	Gratifier (quelqu'un) de (quelque chose).	none	none	none	(Par extension) (Courant) Aider ; contribuer à.	http://kaiko.getalp.org/dbnary/fra/__ws_3_favoriser__verb__1
	B._1.UND-6	Gratifier (quelqu'un) de (quelque chose).	exact	exact	narrower	(Par extension) Gratifier.	http://kaiko.getalp.org/dbnary/fra/__ws_4_favoriser__verb__1
	B._1.b)UND-7	Donner ses faveurs (à quelqu'un), lui manifester son amour par des marques déterminées.	narrower	related	related	Traiter avec les signes d’une préférence ou d'une bienveillance marquée.	http://kaiko.getalp.org/dbnary/fra/__ws_1_favoriser__verb__1
	B._1.b)UND-7	Donner ses faveurs (à quelqu'un), lui manifester son amour par des marques déterminées.	none	none	related	Gratifier quelqu’un d’un avantage ou de quelque chose agréable, conforme à ses souhaits, à ses désirs.	http://kaiko.getalp.org/dbnary/fra/__ws_2_favoriser__verb__1
	B._1.b)UND-7	Donner ses faveurs (à quelqu'un), lui manifester son amour par des marques déterminées.	none	none	related	(Par extension) (Courant) Aider ; contribuer à.	http://kaiko.getalp.org/dbnary/fra/__ws_3_favoriser__verb__1
	B._1.b)UND-7	Donner ses faveurs (à quelqu'un), lui manifester son amour par des marques déterminées.	none	none	related	(Par extension) Gratifier.	http://kaiko.getalp.org/dbnary/fra/__ws_4_favoriser__verb__1
	B._2.UND-12	Soutenir, rendre possible (une action, un comportement).	none	none	none	Traiter avec les signes d’une préférence ou d'une bienveillance marquée.	http://kaiko.getalp.org/dbnary/fra/__ws_1_favoriser__verb__1
	B._2.UND-12	Soutenir, rendre possible (une action, un comportement).	none	none	related	Gratifier quelqu’un d’un avantage ou de quelque chose agréable, conforme à ses souhaits, à ses désirs.	http://kaiko.getalp.org/dbnary/fra/__ws_2_favoriser__verb__1
	B._2.UND-12	Soutenir, rendre possible (une action, un comportement).	exact	exact	exact	(Par extension) (Courant) Aider ; contribuer à.	http://kaiko.getalp.org/dbnary/fra/__ws_3_favoriser__verb__1
	B._2.UND-12	Soutenir, rendre possible (une action, un comportement).	none	none	related	(Par extension) Gratifier.	http://kaiko.getalp.org/dbnary/fra/__ws_4_favoriser__verb__1
	B._2.UND-15	Apporter son aide, être favorable à.	none	none	none	Traiter avec les signes d’une préférence ou d'une bienveillance marquée.	http://kaiko.getalp.org/dbnary/fra/__ws_1_favoriser__verb__1
	B._2.UND-15	Apporter son aide, être favorable à.	none	none	related	Gratifier quelqu’un d’un avantage ou de quelque chose agréable, conforme à ses souhaits, à ses désirs.	http://kaiko.getalp.org/dbnary/fra/__ws_2_favoriser__verb__1
	B._2.UND-15	Apporter son aide, être favorable à.	exact	exact	exact	(Par extension) (Courant) Aider ; contribuer à.	http://kaiko.getalp.org/dbnary/fra/__ws_3_favoriser__verb__1
	B._2.UND-15	Apporter son aide, être favorable à.	none	none	none	(Par extension) Gratifier.	http://kaiko.getalp.org/dbnary/fra/__ws_4_favoriser__verb__1
	B._2.b)UND-14	Être favorable, faciliter l'action de quelqu'un, le déroulement des événements.	none	none	related	Traiter avec les signes d’une préférence ou d'une bienveillance marquée.	http://kaiko.getalp.org/dbnary/fra/__ws_1_favoriser__verb__1
	B._2.b)UND-14	Être favorable, faciliter l'action de quelqu'un, le déroulement des événements.	none	none	related	Gratifier quelqu’un d’un avantage ou de quelque chose agréable, conforme à ses souhaits, à ses désirs.	http://kaiko.getalp.org/dbnary/fra/__ws_2_favoriser__verb__1
	B._2.b)UND-14	Être favorable, faciliter l'action de quelqu'un, le déroulement des événements.	related	exact	exact	(Par extension) (Courant) Aider ; contribuer à.	http://kaiko.getalp.org/dbnary/fra/__ws_3_favoriser__verb__1
	B._2.b)UND-14	Être favorable, faciliter l'action de quelqu'un, le déroulement des événements.	none	none	related	(Par extension) Gratifier.	http://kaiko.getalp.org/dbnary/fra/__ws_4_favoriser__verb__1
	UND-3	Traiter (quelqu'un) avec une bienveillance particulière.	exact	exact	exact	Traiter avec les signes d’une préférence ou d'une bienveillance marquée.	http://kaiko.getalp.org/dbnary/fra/__ws_1_favoriser__verb__1
	UND-3	Traiter (quelqu'un) avec une bienveillance particulière.	none	broader	broader	Gratifier quelqu’un d’un avantage ou de quelque chose agréable, conforme à ses souhaits, à ses désirs.	http://kaiko.getalp.org/dbnary/fra/__ws_2_favoriser__verb__1
	UND-3	Traiter (quelqu'un) avec une bienveillance particulière.	none	none	related	(Par extension) (Courant) Aider ; contribuer à.	http://kaiko.getalp.org/dbnary/fra/__ws_3_favoriser__verb__1
	UND-3	Traiter (quelqu'un) avec une bienveillance particulière.	none	broader	none	(Par extension) Gratifier.	http://kaiko.getalp.org/dbnary/fra/__ws_4_favoriser__verb__1
ajourner|verb|							
https://www.cnrtl.fr/definition/4293							
http://kaiko.getalp.org/dbnary/fra/ajourner__verb__1							
	I._A._UND-1	Assigner quelqu'un à comparaître à un jour fixé et en personne devant un juge, un tribunal	none	none	related	Remettre à un autre jour la poursuite d'une affaire.	http://kaiko.getalp.org/dbnary/fra/__ws_1_ajourner__verb__1
	I._A._UND-1	Assigner quelqu'un à comparaître à un jour fixé et en personne devant un juge, un tribunal	none	none	related	Renvoyer, en matière de délibération, à un certain jour ou à un temps indéterminé.	http://kaiko.getalp.org/dbnary/fra/__ws_2_ajourner__verb__1
	I._A._UND-1	Assigner quelqu'un à comparaître à un jour fixé et en personne devant un juge, un tribunal	narrower	exact	exact	(Justice) Assigner quelqu’un à un certain jour en justice.	http://kaiko.getalp.org/dbnary/fra/__ws_3_ajourner__verb__1
	I._B._1.UND-2	Remettre à une autre date (déterminée ou indéterminée) la poursuite d'une affaire judiciaire, une sentence, etc. :	exact	none	exact	Remettre à un autre jour la poursuite d'une affaire.	http://kaiko.getalp.org/dbnary/fra/__ws_1_ajourner__verb__1
	I._B._1.UND-2	Remettre à une autre date (déterminée ou indéterminée) la poursuite d'une affaire judiciaire, une sentence, etc. :	narrower	narrower	narrower	Renvoyer, en matière de délibération, à un certain jour ou à un temps indéterminé.	http://kaiko.getalp.org/dbnary/fra/__ws_2_ajourner__verb__1
	I._B._1.UND-2	Remettre à une autre date (déterminée ou indéterminée) la poursuite d'une affaire judiciaire, une sentence, etc. :	none	none	related	(Justice) Assigner quelqu’un à un certain jour en justice.	http://kaiko.getalp.org/dbnary/fra/__ws_3_ajourner__verb__1
	I._B._1.UND-3	Ajourner qqn. Renvoyer à plus tard une sentence le concernant :	related	none	related	Remettre à un autre jour la poursuite d'une affaire.	http://kaiko.getalp.org/dbnary/fra/__ws_1_ajourner__verb__1
	I._B._1.UND-3	Ajourner qqn. Renvoyer à plus tard une sentence le concernant :	exact	broader	exact	Renvoyer, en matière de délibération, à un certain jour ou à un temps indéterminé.	http://kaiko.getalp.org/dbnary/fra/__ws_2_ajourner__verb__1
	I._B._1.UND-3	Ajourner qqn. Renvoyer à plus tard une sentence le concernant :	none	none	related	(Justice) Assigner quelqu’un à un certain jour en justice.	http://kaiko.getalp.org/dbnary/fra/__ws_3_ajourner__verb__1
	I._B._UND-4	Remettre à une date ultérieure (déterminée ou indéterminée) une réunion	none	none	related	Remettre à un autre jour la poursuite d'une affaire.	http://kaiko.getalp.org/dbnary/fra/__ws_1_ajourner__verb__1
	I._B._UND-4	Remettre à une date ultérieure (déterminée ou indéterminée) une réunion	broader	none	exact	Renvoyer, en matière de délibération, à un certain jour ou à un temps indéterminé.	http://kaiko.getalp.org/dbnary/fra/__ws_2_ajourner__verb__1
	I._B._UND-4	Remettre à une date ultérieure (déterminée ou indéterminée) une réunion	none	none	none	(Justice) Assigner quelqu’un à un certain jour en justice.	http://kaiko.getalp.org/dbnary/fra/__ws_3_ajourner__verb__1
	I._C._UND-6	Refuser un candidat à un examen et le renvoyer à une session ultérieure	none	none	none	Remettre à un autre jour la poursuite d'une affaire.	http://kaiko.getalp.org/dbnary/fra/__ws_1_ajourner__verb__1
	I._C._UND-6	Refuser un candidat à un examen et le renvoyer à une session ultérieure	none	none	none	Renvoyer, en matière de délibération, à un certain jour ou à un temps indéterminé.	http://kaiko.getalp.org/dbnary/fra/__ws_2_ajourner__verb__1
	I._C._UND-6	Refuser un candidat à un examen et le renvoyer à une session ultérieure	none	none	none	(Justice) Assigner quelqu’un à un certain jour en justice.	http://kaiko.getalp.org/dbnary/fra/__ws_3_ajourner__verb__1
	I._D._1.UND-7	Fixer pour cette date une décision concernant une personne	none	none	none	Remettre à un autre jour la poursuite d'une affaire.	http://kaiko.getalp.org/dbnary/fra/__ws_1_ajourner__verb__1
	I._D._1.UND-7	Fixer pour cette date une décision concernant une personne	none	none	related	Renvoyer, en matière de délibération, à un certain jour ou à un temps indéterminé.	http://kaiko.getalp.org/dbnary/fra/__ws_2_ajourner__verb__1
	I._D._1.UND-7	Fixer pour cette date une décision concernant une personne	none	none	none	(Justice) Assigner quelqu’un à un certain jour en justice.	http://kaiko.getalp.org/dbnary/fra/__ws_3_ajourner__verb__1
	I._D._2.UND-9	Remettre à plus tard l'examen d'un fait	broader	none	narrower	Remettre à un autre jour la poursuite d'une affaire.	http://kaiko.getalp.org/dbnary/fra/__ws_1_ajourner__verb__1
	I._D._2.UND-9	Remettre à plus tard l'examen d'un fait	related	exact	narrower	Renvoyer, en matière de délibération, à un certain jour ou à un temps indéterminé.	http://kaiko.getalp.org/dbnary/fra/__ws_2_ajourner__verb__1
	I._D._2.UND-9	Remettre à plus tard l'examen d'un fait	none	none	none	(Justice) Assigner quelqu’un à un certain jour en justice.	http://kaiko.getalp.org/dbnary/fra/__ws_3_ajourner__verb__1
	I._UND-11	Remettre à plus tard.	broader	broader	broader	Remettre à un autre jour la poursuite d'une affaire.	http://kaiko.getalp.org/dbnary/fra/__ws_1_ajourner__verb__1
	I._UND-11	Remettre à plus tard.	broader	broader	broader	Renvoyer, en matière de délibération, à un certain jour ou à un temps indéterminé.	http://kaiko.getalp.org/dbnary/fra/__ws_2_ajourner__verb__1
	I._UND-11	Remettre à plus tard.	none	none	none	(Justice) Assigner quelqu’un à un certain jour en justice.	http://kaiko.getalp.org/dbnary/fra/__ws_3_ajourner__verb__1
	II._UND-13	Remettre à plus tard une décision	none	none	related	Remettre à un autre jour la poursuite d'une affaire.	http://kaiko.getalp.org/dbnary/fra/__ws_1_ajourner__verb__1
	II._UND-13	Remettre à plus tard une décision	broader	broader	broader	Renvoyer, en matière de délibération, à un certain jour ou à un temps indéterminé.	http://kaiko.getalp.org/dbnary/fra/__ws_2_ajourner__verb__1
	II._UND-13	Remettre à plus tard une décision	none	none	none	(Justice) Assigner quelqu’un à un certain jour en justice.	http://kaiko.getalp.org/dbnary/fra/__ws_3_ajourner__verb__1
	III._1.UND-15	[Le suj. désigne une pers.]  Renvoyer à plus tard une décision la concernant elle-même	none	none	related	Remettre à un autre jour la poursuite d'une affaire.	http://kaiko.getalp.org/dbnary/fra/__ws_1_ajourner__verb__1
	III._1.UND-15	[Le suj. désigne une pers.]  Renvoyer à plus tard une décision la concernant elle-même	broader	narrower	related	Renvoyer, en matière de délibération, à un certain jour ou à un temps indéterminé.	http://kaiko.getalp.org/dbnary/fra/__ws_2_ajourner__verb__1
	III._1.UND-15	[Le suj. désigne une pers.]  Renvoyer à plus tard une décision la concernant elle-même	none	none	none	(Justice) Assigner quelqu’un à un certain jour en justice.	http://kaiko.getalp.org/dbnary/fra/__ws_3_ajourner__verb__1
augmenter|verb|							
https://www.cnrtl.fr/definition/10030							
http://kaiko.getalp.org/dbnary/fra/augmenter__verb__1							
	I._A._UND-1	En accroître l'étendue, l'importance.	exact	narrower	related	Rendre une quantité plus grande.	http://kaiko.getalp.org/dbnary/fra/__ws_1_augmenter__verb__1
	I._A._UND-1	En accroître l'étendue, l'importance.	broader	none	related	Accroitre le salaire d’une personne.	http://kaiko.getalp.org/dbnary/fra/__ws_2_augmenter__verb__1
	I._A._UND-1	En accroître l'étendue, l'importance.	exact	none	related	(Intransitif) Devenir plus grand, plus important ou plus intense.	http://kaiko.getalp.org/dbnary/fra/__ws_3_augmenter__verb__1
	I._A._UND-1	En accroître l'étendue, l'importance.	broader	none	none	(Intransitif) Pour une marchandise, devenir plus chère.	http://kaiko.getalp.org/dbnary/fra/__ws_4_augmenter__verb__1
	I._A._UND-1	En accroître l'étendue, l'importance.	related	none	related	(Pronominal) S’accroitre.	http://kaiko.getalp.org/dbnary/fra/__ws_5_augmenter__verb__1
	I._B._UND-3	Rehausser quelqu'un, l'élever, le faire se développer et grandir	none	narrower	none	Rendre une quantité plus grande.	http://kaiko.getalp.org/dbnary/fra/__ws_1_augmenter__verb__1
	I._B._UND-3	Rehausser quelqu'un, l'élever, le faire se développer et grandir	none	none	none	Accroitre le salaire d’une personne.	http://kaiko.getalp.org/dbnary/fra/__ws_2_augmenter__verb__1
	I._B._UND-3	Rehausser quelqu'un, l'élever, le faire se développer et grandir	none	none	related	(Intransitif) Devenir plus grand, plus important ou plus intense.	http://kaiko.getalp.org/dbnary/fra/__ws_3_augmenter__verb__1
	I._B._UND-3	Rehausser quelqu'un, l'élever, le faire se développer et grandir	none	none	none	(Intransitif) Pour une marchandise, devenir plus chère.	http://kaiko.getalp.org/dbnary/fra/__ws_4_augmenter__verb__1
	I._B._UND-3	Rehausser quelqu'un, l'élever, le faire se développer et grandir	none	none	related	(Pronominal) S’accroitre.	http://kaiko.getalp.org/dbnary/fra/__ws_5_augmenter__verb__1
	I._B._UND-4	Donner à quelqu'un un salaire, un traitement plus élevé	none	narrower	none	Rendre une quantité plus grande.	http://kaiko.getalp.org/dbnary/fra/__ws_1_augmenter__verb__1
	I._B._UND-4	Donner à quelqu'un un salaire, un traitement plus élevé	exact	exact	exact	Accroitre le salaire d’une personne.	http://kaiko.getalp.org/dbnary/fra/__ws_2_augmenter__verb__1
	I._B._UND-4	Donner à quelqu'un un salaire, un traitement plus élevé	none	none	none	(Intransitif) Devenir plus grand, plus important ou plus intense.	http://kaiko.getalp.org/dbnary/fra/__ws_3_augmenter__verb__1
